"","Time","Insight"
"1",-31.6061158833658,"SIMPLE_OR_SAME_CAT"
"2",12.7324249329541,"SIMPLE_OR_SAME_CAT"
"3",26.5779630969502,"SIMPLE_OR_SAME_CAT"
"4",-23.1929816822967,"SIMPLE_OR_SAME_CAT"
"5",-85.929370717494,"SIMPLE_OR_SAME_CAT"
"6",-8.723088043625,"SIMPLE_OR_DIFF_CAT"
"7",3.83645204956624,"SIMPLE_OR_DIFF_CAT"
"8",101.920054088633,"SIMPLE_OR_DIFF_CAT"
"9",99.5029199212997,"SIMPLE_OR_DIFF_CAT"
"10",45.9082874552168,"SIMPLE_OR_DIFF_CAT"
"11",135.792771013159,"BEFORE_DIFF_CAT"
"12",187.053698368785,"BEFORE_DIFF_CAT"
"13",4.0777541258913,"BEFORE_DIFF_CAT"
"14",58.0468606845447,"BEFORE_DIFF_CAT"
"15",68.4205452026152,"BEFORE_DIFF_CAT"
"16",170.242604399511,"BEFORE_ONE_SPOT_NOINFO"
"17",-47.4642816864608,"BEFORE_ONE_SPOT_NOINFO"
"18",132.13883015572,"BEFORE_ONE_SPOT_NOINFO"
"19",55.2710881177616,"BEFORE_ONE_SPOT_NOINFO"
"20",16.2474403103158,"BEFORE_ONE_SPOT_NOINFO"
"21",123.042798792425,"BEFORE_N_SPOTS_NOINFO"
"22",215.684951390692,"BEFORE_N_SPOTS_NOINFO"
"23",105.790262875353,"BEFORE_N_SPOTS_NOINFO"
"24",103.360797051374,"BEFORE_N_SPOTS_NOINFO"
"25",52.6007890632561,"BEFORE_N_SPOTS_NOINFO"
"26",134.759904232795,"TRANS_ABC_TRUE"
"27",70.6511648951025,"TRANS_ABC_TRUE"
"28",183.568380333186,"TRANS_ABC_TRUE"
"29",223.545483186402,"TRANS_ABC_TRUE"
"30",176.915314618393,"TRANS_ABC_TRUE"
"31",95.5705578519363,"TRANS_ABC_FALSE"
"32",158.367191708371,"TRANS_ABC_FALSE"
"33",222.24176569926,"TRANS_ABC_FALSE"
"34",189.582315209737,"TRANS_ABC_FALSE"
"35",55.9393354640821,"TRANS_ABC_FALSE"
"36",161.236212191946,"BEFORE_N_SPOTS_SHIFT"
"37",221.555461449908,"BEFORE_N_SPOTS_SHIFT"
"38",192.426745460793,"BEFORE_N_SPOTS_SHIFT"
"39",162.089340723859,"BEFORE_N_SPOTS_SHIFT"
"40",135.499881518692,"BEFORE_N_SPOTS_SHIFT"
"41",217.813006226459,"BEFORE_N_SPOTS_CROSSCHECK"
"42",178.321218220228,"BEFORE_N_SPOTS_CROSSCHECK"
"43",200.432004052409,"BEFORE_N_SPOTS_CROSSCHECK"
"44",246.98978523986,"BEFORE_N_SPOTS_CROSSCHECK"
"45",237.306857280835,"BEFORE_N_SPOTS_CROSSCHECK"
"46",133.903880620922,"TRANS_SETS"
"47",263.309626473284,"TRANS_SETS"
"48",232.248848709454,"TRANS_SETS"
"49",250.896114645815,"TRANS_SETS"
"50",146.892241194733,"TRANS_SETS"
